resourceId,resourceName,isUnhealthy,subscriptionName,resourceType,unhealthyRecommendationsCount,healthyRecommendationsCount,notApplicableRecommendationsCount,environments
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourceGroups/rg-dev-SupplyChaincontroltower/providers/Microsoft.ContainerRegistry/registries/devscmct","devscmct","1","Microsoft Azure Enterprise","microsoft.containerregistry/registries","3","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourceGroups/rg-dev-SupplyChaincontroltower/providers/Microsoft.Databricks/workspaces/IN-dev-scm-ct-databrick","in-dev-scm-ct-databrick","1","Microsoft Azure Enterprise","microsoft.databricks/workspaces","3","2","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourceGroups/rg-dev-SupplyChaincontroltower/providers/Microsoft.ContainerService/managedClusters/kub-dev-scm","kub-dev-scm","1","Microsoft Azure Enterprise","microsoft.containerservice/managedclusters","3","2","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourceGroups/rg-dev-SupplyChaincontroltower/providers/Microsoft.KeyVault/vaults/dev-scm-ct-key","dev-scm-ct-key","1","Microsoft Azure Enterprise","microsoft.keyvault/vaults","2","3","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourceGroups/rg-dev-SupplyChaincontroltower/providers/Microsoft.Sql/servers/dev-scm-ct-sql","dev-scm-ct-sql","1","Microsoft Azure Enterprise","microsoft.sql/servers","1","4","3","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-rca-web-service-images-sha256:81e39b52b2fb62f6496b5598c566b83ae33415564608bec8770d1d0b62cbe5b9","rca-web-service","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-ct-ui-updated-images-sha256:eafd58220563c6ea98d6a17ceca8605e162eb540a276428aa15489561c4df2b0","ct-ui-updated","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-rca-web-service-images-sha256:3daceb9f8e72d249945b1ccd5929be5b16a4264d4e3eda365e900a58352ecfb2","rca-web-service","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-cc-ui-updated-images-sha256:7b711620a1d6ab335639e21b42bef4d6d313fe0d90a5957bc418e18385628def","cc-ui-updated","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-rca-web-service-images-sha256:f916c4f2e917f0ca3a4789b181ab8f58529cc50ed1c2379272dfc26ed057afe9","rca-web-service","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-daas-api-updated-images-sha256:4884223789c77df44657a334b5253f6ede28191cfb18ba2fc5e17aa56d0e34d5","daas-api-updated","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-ct-api-updated-images-sha256:0e3fb26ea08d7240056064deb63826960efec1d832a11f3f8d7fa57e7a724388","ct-api-updated","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourcegroups/rg-dev-supplychaincontroltower/providers/microsoft.containerregistry/registries/devscmct/securityentitydata/repositories-daas-ui-updated-images-sha256:d48c82845d6e23c143624ec9523cca8774ee5a584e26cbd1263e71129f0167b8","daas-ui-updated","1","Microsoft Azure Enterprise","acr.containerimage","1","0","0","Azure"
"/subscriptions/6417fd2b-e5bc-414b-a04d-60da387d282f/resourceGroups/rg-dev-SupplyChaincontroltower/providers/Microsoft.Storage/storageAccounts/scmcontroltower","scmcontroltower","0","Microsoft Azure Enterprise","microsoft.storage/storageaccounts","0","2","3","Azure"